CODE	TIME	MLCODE	NUM	TRAINNUM	PEDNUM	MAXLOAD
20150327	6:50:00	大瓦窑-园博园	 141014:9	1	9	0.46
20150327	7:55:00	国贸-大望路	 012052:609;012053:333;012054:596	3	1538	41.15
20150327	8:25:00	良乡南关-良乡大学城西	 952028:207	1	207	13.99
20150327	8:25:00	苏庄-良乡南关	 952028:138	1	138	9.32
20150327	8:25:00	宋家庄-肖村	 961024:850;961025:979	2	1829	66.15
20150327	8:25:00	肖村-小红门	 961024:845	1	845	57.09
20150327	8:25:00	小红门-旧宫	 961023:1005;961024:835	2	1840	67.91
20150327	8:25:00	旧宫-亦庄桥	 961023:1054	1	1054	71.22
20150327	8:25:00	亦庄桥-亦庄文化园	 961023:1024	1	1024	69.19
20150327	8:25:00	亦庄文化园-万源街	 961022:805	1	805	54.39
20150327	8:25:00	万源街-荣京东街	 961022:658	1	658	44.46
20150327	8:25:00	荣京东街-荣昌东街	 961022:483	1	483	32.64
20150327	8:25:00	荣昌东街-同济南路	 961021:447	1	447	30.2
20150327	8:35:00	马泉营-崔各庄	 151022:1139	1	1139	76.96
20150327	8:35:00	孙河-马泉营	 151023:893	1	893	60.34
20150327	8:35:00	国展-孙河	 151024:859	1	859	58.04
20150327	8:35:00	花梨坎-国展	 151024:858	1	858	57.97
20150327	8:35:00	后沙峪-花梨坎	 151024:817	1	817	55.2
20150327	8:35:00	南法信-后沙峪	 151025:596	1	596	40.27
20150327	8:35:00	石门-南法信	 151026:529	1	529	35.74
20150327	8:35:00	顺义-石门	 151026:442	1	442	29.86
20150327	8:35:00	俸伯-顺义	 151026:208	1	208	14.05
20150327	8:35:00	望京西-望京	 152028:527	1	527	35.61
20150327	8:35:00	望京-崔各庄	 152027:374	1	374	25.27
20150327	8:35:00	马泉营-孙河	 152026:474	1	474	32.03
20150327	8:35:00	孙河-国展	 152025:371;152026:467	2	838	31.55
20150327	8:35:00	国展-花梨坎	 152025:263	1	263	17.77
20150327	8:35:00	花梨坎-后沙峪	 152025:221	1	221	14.93
20150327	8:35:00	后沙峪-南法信	 152024:220	1	220	14.86
20150327	8:35:00	南法信-石门	 152023:207	1	207	13.99
20150327	8:35:00	石门-顺义	 152023:175	1	175	11.82
20150327	8:35:00	顺义-俸伯	 152023:37	1	37	2.5
20150327	8:35:00	南邵-沙河高教园	 941030:410;941031:329	2	739	27.7
20150327	8:35:00	沙河高教园-沙河	 941030:658	1	658	44.46
20150327	8:35:00	沙河-巩华城	 941030:1292	1	1292	87.3
20150327	8:35:00	巩华城-朱辛庄	 941029:1461	1	1461	98.72
20150327	8:35:00	朱辛庄-生命科学园	 941028:1465	1	1465	98.99
20150327	8:35:00	生命科学园-西二旗	 941027:2072;941028:2072	2	4144	140
20150327	8:35:00	沙河高教园-南邵	 942024:133	1	133	8.99
20150327	8:35:00	沙河-沙河高教园	 942025:177	1	177	11.96
20150327	8:35:00	巩华城-沙河	 942025:266	1	266	17.97
20150327	8:35:00	朱辛庄-巩华城	 942026:301	1	301	20.34
20150327	8:35:00	生命科学园-朱辛庄	 942026:307	1	307	20.74
20150327	8:35:00	西二旗-生命科学园	 942027:308	1	308	20.81
20150327	8:35:00	郭公庄-大葆台	 951024:153	1	153	10.34
20150327	8:35:00	大葆台-稻田	 951023:216;951024:122	2	338	14.59
20150327	8:35:00	稻田-长阳	 951022:179;951023:209	2	388	14.12
20150327	8:35:00	长阳-篱笆房	 951022:136	1	136	9.19
20150327	8:35:00	篱笆房-广阳城	 951022:132	1	132	8.92
20150327	8:35:00	广阳城-良乡大学城北	 951021:32	1	32	2.16
20150327	8:35:00	良乡大学城北-良乡大学城	 951021:29	1	29	1.96
20150327	8:35:00	良乡大学城-良乡大学城西	 951020:95	1	95	6.42
20150327	8:35:00	良乡大学城西-良乡南关	 951020:76	1	76	5.14
20150327	8:35:00	良乡南关-苏庄	 951019:40	1	40	2.7
20150327	8:35:00	大葆台-郭公庄	 952025:783	1	783	52.91
20150327	8:35:00	稻田-大葆台	 952025:870;952026:785	2	1655	58.78
20150327	8:35:00	长阳-稻田	 952027:656	1	656	44.32
