CODE	TIME	NOWINNUM	NOWOUTNUM	SUMINNUM	SUMOUTNUM	NETWORKNUM	STATIONPEDNUM	TRAINPEDNUM
20150325	5:00:00	2129	0	2129	0	2129	2123	6
20150325	5:05:00	1379	0	3508	0	3508	3378	130
20150325	5:10:00	968	1	4476	1	4475	3971	555
20150325	5:15:00	3080	15	7556	16	7541	6510	1120
20150325	5:20:00	2243	27	9799	43	9759	7427	2794
20150325	5:25:00	1711	83	11510	126	11389	7504	4145
20150325	5:30:00	5111	205	16621	331	16309	10133	6392
20150325	5:35:00	4392	245	21013	576	20469	13055	8240
20150325	5:40:00	3650	585	24663	1161	23534	12495	11886
20150325	5:45:00	7159	527	31822	1688	30172	16027	14569
20150325	5:50:00	6473	813	38295	2501	36017	18441	17656
20150325	5:55:00	5649	1235	43944	3736	40329	18898	21674
20150325	6:00:00	10520	1441	54464	5177	49510	23549	26711
20150325	6:05:00	9714	1845	64178	7022	57505	26921	31449
20150325	6:10:00	8951	2343	73129	9365	64046	26474	40223
20150325	6:15:00	15555	2751	88684	12116	76972	34600	42887
20150325	6:20:00	14776	3579	103460	15695	88217	37333	53157
20150325	6:25:00	13990	4047	117450	19742	97981	39617	58970
20150325	6:30:00	23413	4838	140863	24580	116661	48726	69007
20150325	6:35:00	22602	5823	163465	30403	133912	54918	79385
20150325	6:40:00	21971	6721	185436	37124	149587	59065	92194
20150325	6:45:00	33085	8091	218521	45215	174741	74083	101418
20150325	6:50:00	32212	9249	250733	54464	197764	78496	121999
20150325	6:55:00	31590	11132	282323	65596	218663	83536	138537
20150325	7:00:00	44643	13230	326966	78826	249801	98913	152329
20150325	7:05:00	43904	15260	370870	94086	278074	108281	171574
20150325	7:10:00	43182	16997	414052	111083	304975	111023	194354
20150325	7:15:00	54957	19686	469009	130769	341164	133293	212036
20150325	7:20:00	54166	23105	523175	153874	371617	139009	235982
20150325	7:25:00	53434	26754	576609	180628	399556	148009	252971
20150325	7:30:00	64167	29042	640776	209670	434945	168422	269127
20150325	7:35:00	63406	33329	704182	242999	466573	182028	288428
20150325	7:40:00	62664	36453	766846	279452	493273	194819	304597
20150325	7:45:00	69467	39313	836313	318765	522967	206029	325663
20150325	7:50:00	68748	42888	905061	361653	549414	223673	331794
20150325	7:55:00	67973	46640	973034	408293	569949	226206	349083
20150325	8:00:00	68580	51192	1041614	459485	587478	242205	353892
20150325	8:05:00	67890	54950	1109504	514435	600269	244713	360073
20150325	8:10:00	67062	58181	1176566	572616	609984	257132	361905
20150325	8:15:00	60927	61200	1237493	633816	611755	261973	362044
20150325	8:20:00	60141	65831	1297634	699647	610471	261932	359761
20150325	8:25:00	59378	63989	1357012	763636	604590	269469	346588
20150325	8:30:00	51005	67986	1408017	831622	599463	261621	344962
20150325	8:35:00	50216	66210	1458233	897832	581794	256828	330459
20150325	8:40:00	49554	68164	1507787	965996	565603	253409	317412
20150325	8:45:00	41964	69238	1549751	1035234	545446	247459	299264
20150325	8:50:00	41233	66383	1590984	1101617	517819	233869	289121
20150325	8:55:00	40414	63622	1631398	1165239	492330	221277	271759
20150325	9:00:00	0	58610	1631398	1223849	465635	212293	253342
20150325	9:05:00	0	54913	1631398	1278762	407524	169237	239987
20150325	9:10:00	0	50705	1631398	1329467	407812	397781	193870
20150325	9:15:00	0	3057	1631398	1332524	408411	408411	0
