273								
线路编号	线路名称	车站编号	车站名称	是否换乘站	是否始末站	是否环状线路		
10	10号线	1001	巴沟	0	0	1		
10	10号线	1003	苏州街	0	9	1		
10	10号线	1005	海淀黄庄	1	9	1		
10	10号线	1007	知春里	0	9	1		
10	10号线	1009	知春路	1	9	1		
10	10号线	1011	西土城	0	9	1		
10	10号线	1013	牡丹园	0	9	1		
10	10号线	1015	健德门	0	9	1		
10	10号线	1017	北土城	1	9	1		
10	10号线	1019	安贞门	0	9	1		
10	10号线	1021	惠新西街南口	1	9	1		
10	10号线	1023	芍药居	1	9	1		
10	10号线	1025	太阳宫	0	9	1		
10	10号线	1027	三元桥	0	9	1		
10	10号线	1029	亮马桥	0	9	1		
10	10号线	1031	农业展览馆	0	9	1		
10	10号线	1033	团结湖	0	9	1		
10	10号线	1035	呼家楼	1	9	1		
10	10号线	1037	金台夕照	0	9	1		
10	10号线	1039	国贸	1	9	1		
10	10号线	1041	双井	0	9	1		
10	10号线	1043	劲松	1	9	1		
10	10号线	1045	潘家园	0	9	1		
10	10号线	1047	十里河	0	9	1		
10	10号线	1049	分钟寺	0	9	1		
10	10号线	1051	成寿寺	0	9	1		
10	10号线	1053	宋家庄	1	9	1		
10	10号线	1055	石榴庄	0	9	1		
10	10号线	1057	大红门	0	9	1		
10	10号线	1059	角门东	0	9	1		
10	10号线	1061	角门西	1	9	1		
10	10号线	1063	草桥	0	9	1		
10	10号线	1065	纪家庙	0	9	1		
10	10号线	1067	首经贸	0	9	1		
10	10号线	1069	丰台站	0	9	1		
10	10号线	1071	泥洼	0	9	1		
10	10号线	1073	西局	1	9	1		
10	10号线	1075	六里桥	1	9	1		
10	10号线	1079	莲花桥	0	9	1		
10	10号线	1081	公主坟	1	9	1		
10	10号线	1083	西钓鱼台	0	9	1		
10	10号线	1085	慈寿寺	1	9	1		
10	10号线	1087	车道沟	0	9	1		
10	10号线	1089	长春桥	0	9	1		
10	10号线	1091	火器营	0	1	1		
13	13号线	1321	西直门	1	0	0		
13	13号线	1323	大钟寺	0	9	0		
13	13号线	1325	知春路	1	9	0		
13	13号线	1327	五道口	0	9	0		
13	13号线	1329	上地	0	9	0		
13	13号线	1331	西二旗	1	9	0		
13	13号线	1333	龙泽	0	9	0		
13	13号线	1335	回龙观	0	9	0		
13	13号线	1337	霍营	1	9	0		
13	13号线	1339	立水桥	1	9	0		
13	13号线	1341	北苑	0	9	0		
13	13号线	1343	望京西	1	9	0		
13	13号线	1345	芍药居	1	9	0		
13	13号线	1347	光熙门	0	9	0		
13	13号线	1349	柳芳	0	9	0		
13	13号线	1351	东直门	1	1	0		
14	14号线	1421	张郭庄	0	0	0		
14	14号线	1423	园博园	0	9	0		
14	14号线	1425	大瓦窑	0	9	0		
14	14号线	1427	郭庄子	0	9	0		
14	14号线	1429	大井	0	9	0		
14	14号线	1431	七里庄	1	9	0		
14	14号线	1433	西局	1	1	0		
15	15号线	1539	望京西	1	0	0		
15	15号线	1541	望京	0	9	0		
15	15号线	1545	崔各庄	0	9	0		
15	15号线	1547	马泉营	0	9	0		
15	15号线	1549	孙河	0	9	0		
15	15号线	1551	国展	0	9	0		
15	15号线	1553	花梨坎	0	9	0		
15	15号线	1555	后沙峪	0	9	0		
15	15号线	1557	南法信	0	9	0		
15	15号线	1559	石门	0	9	0		
15	15号线	1561	顺义	0	9	0		
15	15号线	1563	俸伯	0	1	0		
1	1号线	103	苹果园	0	0	0		
1	1号线	104	古城	0	9	0		
1	1号线	105	八角游乐园	0	9	0		
1	1号线	106	八宝山	0	9	0		
1	1号线	107	玉泉路	0	9	0		
1	1号线	108	五棵松	0	9	0		
1	1号线	109	万寿路	0	9	0		
1	1号线	110	公主坟	1	9	0		
1	1号线	111	军事博物馆	1	9	0		
1	1号线	112	木樨地	0	9	0		
1	1号线	113	南礼士路	0	9	0		
1	1号线	114	复兴门	1	9	0		
1	1号线	115	西单	1	9	0		
1	1号线	116	天安门西	0	9	0		
1	1号线	117	天安门东	0	9	0		
1	1号线	118	王府井	0	9	0		
1	1号线	119	东单	1	9	0		
1	1号线	120	建国门	1	9	0		
1	1号线	121	永安里	0	9	0		
1	1号线	122	国贸	1	9	0		
1	1号线	123	大望路	0	9	0		
1	1号线	124	四惠	1	9	0		
1	1号线	125	四惠东	1	1	0		
2	2号线	201	西直门	1	0	1		
2	2号线	202	车公庄	1	9	1		
