CODE	TIME	MLCODE	NUM	TRAINNUM	PEDNUM	MAXLOAD
20150325	7:20:00	北苑-望京西	 131026:2072;131027:2072;131028:2072	3	6216	140
20150325	8:20:00	霍营-育新	 081042:514;081043:226	2	740	34.73
20150325	6:45:00	复兴门-长椿街	 022018:334;022019:317	2	651	22.57
20150325	6:45:00	长椿街-宣武门	 022017:232;022018:383	2	615	25.88
20150325	6:45:00	宣武门-和平门	 022017:318;022018:384	2	702	25.95
20150325	6:45:00	和平门-前门	 022016:393;022017:320	2	713	26.55
20150325	6:45:00	前门-崇文门	 022016:399;022017:333	2	732	26.96
20150325	6:45:00	崇文门-北京站	 022015:373;022016:502	2	875	33.92
20150325	6:45:00	北京站-建国门	 022015:572	1	572	38.65
20150325	6:45:00	建国门-朝阳门	 022014:1262;022015:1342	2	2604	90.68
20150325	6:45:00	朝阳门-东四十条	 022014:608	1	608	41.08
20150325	6:45:00	东四十条-东直门	 022014:573	1	573	38.72
20150325	6:45:00	东直门-雍和宫	 022013:224	1	224	15.14
20150325	6:45:00	雍和宫-安定门	 022013:237	1	237	16.01
20150325	6:45:00	安定门-鼓楼大街	 022012:207	1	207	13.99
20150325	6:45:00	鼓楼大街-积水潭	 022011:597;022012:251	2	848	40.34
20150325	6:45:00	积水潭-西直门	 022011:675	10	675	45.61
20150325	6:45:00	北宫门-西苑	 04931S043:225;04931Q045:87	2	312	15.2
20150325	6:45:00	西苑-圆明园	 04931S043:367	1	367	24.8
20150325	6:45:00	北京大学东门-中关村	 04931S039:252	1	252	17.03
20150325	6:45:00	中关村-海淀黄庄	 04931S039:265	1	265	17.91
20150325	6:45:00	海淀黄庄-人民大学	 04931Q037:50;04931S039:45	2	95	3.38
20150325	6:45:00	人民大学-魏公村	 04931Q037:64	1	64	4.32
20150325	6:45:00	魏公村-国家图书馆	 04931Q035:110;04931Q037:84	2	194	7.43
20150325	6:45:00	国家图书馆-动物园	 04931Q035:624	1	624	42.16
20150325	6:45:00	动物园-西直门	 04931Q033:595	1	595	40.2
20150325	6:45:00	西直门-新街口	 04931Q033:108	1	108	7.3
20150325	6:45:00	新街口-平安里	 04931Q031:109	1	109	7.36
20150325	6:45:00	平安里-西四	 04931Q031:61	1	61	4.12
20150325	6:45:00	西四-灵境胡同	 04931Q029:100;04931Q031:56	2	156	6.76
20150325	6:45:00	灵境胡同-西单	 04931Q029:98	1	98	6.62
20150325	6:45:00	西单-宣武门	 04931Q029:147	1	147	9.93
20150325	6:45:00	陶然亭-北京南站	 04931Q025:229	1	229	15.47
20150325	6:45:00	北京南站-马家堡	 04931Q025:129	1	129	8.72
20150325	6:45:00	马家堡-角门西	 04931Q023:252	1	252	17.03
20150325	6:45:00	角门西-公益西桥	 04931Q023:409	1	409	27.64
20150325	6:45:00	公益西桥-新宫	 04931Q021:212;04931Q023:393	2	605	26.55
20150325	6:45:00	新宫-西红门	 04931Q019:195;04931Q021:200	2	395	13.51
