iD	LCODE	CODE	SECCODE	PRVCODE	PRVNAME	NXTCODE	NXTNAME	DIRECT	LENGTH	ISTURN	TURNTIME
1	1	1040103	0104-0103	104	古城	103	苹果园	1	1000	TRUE	300
2	1	1050104	0105-0104	105	八角游乐园	104	古城	1	1000	FALSE	0
3	1	1060105	0106-0105	106	八宝山	105	八角游乐园	1	1000	FALSE	0
4	1	1070106	0107-0106	107	玉泉路	106	八宝山	1	1000	FALSE	0
5	1	1080107	0108-0107	108	五棵松	107	玉泉路	1	1000	TRUE	300
6	1	1090108	0109-0108	109	万寿路	108	五棵松	1	1000	FALSE	0
7	1	1100109	0110-0109	110	公主坟	109	万寿路	1	1000	FALSE	0
8	1	1110110	0111-0110	111	军事博物馆	110	公主坟	1	1000	FALSE	0
9	1	1120111	0112-0111	112	木樨地	111	军事博物馆	1	1000	FALSE	0
10	1	1130112	0113-0112	113	南礼士路	112	木樨地	1	1000	TRUE	300
11	1	1140113	0114-0113	114	复兴门	113	南礼士路	1	1000	FALSE	0
12	1	1150114	0115-0114	115	西单	114	复兴门	1	1000	FALSE	0
13	1	1160115	0116-0115	116	天安门西	115	西单	1	1000	FALSE	0
14	1	1170116	0117-0116	117	天安门东	116	天安门西	1	1000	FALSE	0
15	1	1180117	0118-0117	118	王府井	117	天安门东	1	1000	FALSE	0
16	1	1190118	0119-0118	119	东单	118	王府井	1	1000	FALSE	0
17	1	1200119	0120-0119	120	建国门	119	东单	1	1000	TRUE	300
18	1	1210120	0121-0120	121	永安里	120	建国门	1	1000	FALSE	0
19	1	1220121	0122-0121	122	国贸	121	永安里	1	1000	FALSE	0
20	1	1230122	0123-0122	123	大望路	122	国贸	1	1000	FALSE	0
21	1	1240123	0124-0123	124	四惠	123	大望路	1	1000	FALSE	0
22	1	1250124	0125-0124	125	四惠东	124	四惠	1	1000	FALSE	0
23	1	1030104	0104-0103	103	苹果园	104	古城	2	1000	TRUE	300
24	1	1040105	0105-0104	104	古城	105	八角游乐园	2	1000	FALSE	0
25	1	1050106	0106-0105	105	八角游乐园	106	八宝山	2	1000	FALSE	0
26	1	1060107	0107-0106	106	八宝山	107	玉泉路	2	1000	FALSE	0
27	1	1070108	0108-0107	107	玉泉路	108	五棵松	2	1000	FALSE	0
28	1	1080109	0109-0108	108	五棵松	109	万寿路	2	1000	TRUE	300
29	1	1090110	0110-0109	109	万寿路	110	公主坟	2	1000	FALSE	0
30	1	1100111	0111-0110	110	公主坟	111	军事博物馆	2	1000	FALSE	0
31	1	1110112	0112-0111	111	军事博物馆	112	木樨地	2	1000	FALSE	0
32	1	1120113	0113-0112	112	木樨地	113	南礼士路	2	1000	FALSE	0
33	1	1130114	0114-0113	113	南礼士路	114	复兴门	2	1000	TRUE	300
34	1	1140115	0115-0114	114	复兴门	115	西单	2	1000	FALSE	0
35	1	1150116	0116-0115	115	西单	116	天安门西	2	1000	FALSE	0
36	1	1160117	0117-0116	116	天安门西	117	天安门东	2	1000	FALSE	0
37	1	1170118	0118-0117	117	天安门东	118	王府井	2	1000	FALSE	0
38	1	1180119	0119-0118	118	王府井	119	东单	2	1000	FALSE	0
39	1	1190120	0120-0119	119	东单	120	建国门	2	1000	FALSE	0
40	1	1200121	0121-0120	120	建国门	121	永安里	2	1000	FALSE	0
41	1	1210122	0122-0121	121	永安里	122	国贸	2	1000	FALSE	0
42	1	1220123	0123-0122	122	国贸	123	大望路	2	1000	FALSE	0
43	1	1230124	0124-0123	123	大望路	124	四惠	2	1000	FALSE	0
44	1	1240125	0125-0124	124	四惠	125	四惠东	2	1000	FALSE	0
45	2	2020201	0202-0201	202	车公庄	201	西直门	1	1000	FALSE	0
46	2	2030202	0203-0202	203	阜成门	202	车公庄	1	1000	FALSE	0
47	2	2040203	0204-0203	204	复兴门	203	阜成门	1	1000	FALSE	0
48	2	2050204	0205-0204	205	长椿街	204	复兴门	1	1000	FALSE	0
49	2	2060205	0206-0205	206	宣武门	205	长椿街	1	1000	FALSE	0
50	2	2070206	0207-0206	207	和平门	206	宣武门	1	1000	FALSE	0
51	2	2080207	0208-0207	208	前门	207	和平门	1	1000	FALSE	0
52	2	2090208	0209-0208	209	崇文门	208	前门	1	1000	FALSE	0
53	2	2100209	0210-0209	210	北京站	209	崇文门	1	1000	FALSE	0
54	2	2110210	0211-0210	211	建国门	210	北京站	1	1000	FALSE	0
55	2	2120211	0212-0211	212	朝阳门	211	建国门	1	1000	FALSE	0
56	2	2130212	0213-0212	213	东四十条	212	朝阳门	1	1000	FALSE	0
57	2	2140213	0214-0213	214	东直门	213	东四十条	1	1000	FALSE	0
58	2	2150214	0215-0214	215	雍和宫	214	东直门	1	1000	FALSE	0
59	2	2160215	0216-0215	216	安定门	215	雍和宫	1	1000	FALSE	0
60	2	2170216	0217-0216	217	鼓楼大街	216	安定门	1	1000	FALSE	0
61	2	2180217	0218-0217	218	积水潭	217	鼓楼大街	1	1000	FALSE	0
62	2	2010218	0201-0218	201	西直门	218	积水潭	1	1000	FALSE	0
63	2	2010202	0202-0201	201	西直门	202	车公庄	2	1000	FALSE	0
64	2	2020203	0203-0202	202	车公庄	203	阜成门	2	1000	FALSE	0
65	2	2030204	0204-0203	203	阜成门	204	复兴门	2	1000	FALSE	0
66	2	2040205	0205-0204	204	复兴门	205	长椿街	2	1000	FALSE	0
67	2	2050206	0206-0205	205	长椿街	206	宣武门	2	1000	FALSE	0
68	2	2060207	0207-0206	206	宣武门	207	和平门	2	1000	FALSE	0
69	2	2070208	0208-0207	207	和平门	208	前门	2	1000	FALSE	0
70	2	2080209	0209-0208	208	前门	209	崇文门	2	1000	FALSE	0
71	2	2090210	0210-0209	209	崇文门	210	北京站	2	1000	FALSE	0
72	2	2100211	0211-0210	210	北京站	211	建国门	2	1000	FALSE	0
73	2	2110212	0212-0211	211	建国门	212	朝阳门	2	1000	FALSE	0
74	2	2120213	0213-0212	212	朝阳门	213	东四十条	2	1000	FALSE	0
75	2	2130214	0214-0213	213	东四十条	214	东直门	2	1000	FALSE	0
76	2	2140215	0215-0214	214	东直门	215	雍和宫	2	1000	FALSE	0
77	2	2150216	0216-0215	215	雍和宫	216	安定门	2	1000	FALSE	0
78	2	2160217	0217-0216	216	安定门	217	鼓楼大街	2	1000	FALSE	0
79	2	2170218	0218-0217	217	鼓楼大街	218	积水潭	2	1000	FALSE	0
80	2	2180201	0201-0218	218	积水潭	201	西直门	2	1000	FALSE	0
81	493	4210423	0421-0423	421	安和桥北	423	北宫门	1	1000	FALSE	0
82	493	4230425	0423-0425	423	北宫门	425	西苑	1	1000	FALSE	0
83	493	4250427	0425-0427	425	西苑	427	圆明园	1	1000	FALSE	0
84	493	4270429	0427-0429	427	圆明园	429	北京大学东门	1	1000	FALSE	0
85	493	4290431	0429-0431	429	北京大学东门	431	中关村	1	1000	FALSE	0
86	493	4310433	0431-0433	431	中关村	433	海淀黄庄	1	1000	FALSE	0
87	493	4330435	0433-0435	433	海淀黄庄	435	人民大学	1	1000	FALSE	0
88	493	4350437	0435-0437	435	人民大学	437	魏公村	1	1000	FALSE	0
89	493	4370439	0437-0439	437	魏公村	439	国家图书馆	1	1000	FALSE	0
90	493	4390441	0439-0441	439	国家图书馆	441	动物园	1	1000	FALSE	0
91	493	4410443	0441-0443	441	动物园	443	西直门	1	1000	FALSE	0
92	493	4430445	0443-0445	443	西直门	445	新街口	1	1000	FALSE	0
93	493	4450447	0445-0447	445	新街口	447	平安里	1	1000	FALSE	0
94	493	4470449	0447-0449	447	平安里	449	西四	1	1000	FALSE	0
