145	
线路编号	线路名称	车站编号	车站名称	是否换乘站	是否始末站	是否环状线路
1	一号线	101	广州东站	1	1	0
1	一号线	102	体育中心	0	0	0
1	一号线	103	体育西路	1	0	0
1	一号线	104	杨箕	1	0	0
1	一号线	105	东山口	0	0	0
1	一号线	106	烈士陵园	0	0	0
1	一号线	107	农讲所	0	0	0
1	一号线	108	公园前	1	0	0
1	一号线	109	西门口	0	0	0
1	一号线	110	陈家祠	0	0	0
1	一号线	111	长寿路	0	0	0
1	一号线	112	黄沙	0	0	0
1	一号线	113	芳村	0	0	0
1	一号线	114	花地湾	0	0	0
1	一号线	115	坑口	0	0	0
1	一号线	116	西朗	1	9	0
2	二号线	201	嘉禾望岗	1	1	0
2	二号线	202	黄边	0	0	0
2	二号线	203	江夏	0	0	0
2	二号线	204	萧岗	0	0	0
2	二号线	205	白云文化广场	0	0	0
2	二号线	206	白云公园	0	0	0
2	二号线	207	飞翔公园	0	0	0
2	二号线	208	三元里	0	0	0
2	二号线	209	广州火车站	1	0	0
2	二号线	210	越秀公园	0	0	0
2	二号线	211	纪念堂	0	0	0
2	二号线	212	公园前	1	0	0
2	二号线	213	海珠广场	0	0	0
2	二号线	214	市二宫	0	0	0
2	二号线	215	江南西	0	0	0
2	二号线	216	昌岗	1	0	0
2	二号线	217	江泰路	0	0	0
2	二号线	218	东晓南	0	0	0
2	二号线	219	南洲	0	0	0
2	二号线	220	洛溪	0	0	0
2	二号线	221	南浦	0	0	0
2	二号线	222	会江	0	0	0
2	二号线	223	石壁	0	0	0
2	二号线	224	广州南站	0	9	0
3	三号线	301	天河客运站	0	1	0
3	三号线	302	五山	0	0	0
3	三号线	303	华师	0	0	0
3	三号线	304	岗顶	0	0	0
3	三号线	305	石牌桥	0	0	0
3	三号线	306	体育西路	1	0	0
3	三号线	307	珠江新城	1	0	0
3	三号线	308	广州塔	1	0	0
3	三号线	309	客村	1	0	0
3	三号线	310	大塘	0	0	0
3	三号线	311	沥滘	0	0	0
3	三号线	312	厦滘	0	0	0
3	三号线	313	大石	0	0	0
3	三号线	314	汉溪长隆	0	0	0
3	三号线	315	市桥	0	0	0
3	三号线	316	番禺广场	0	9	0
4	四号线	401	黄村	0	1	0
4	四号线	402	车陂	0	0	0
4	四号线	403	车陂南	1	0	0
4	四号线	404	万胜围	1	0	0
4	四号线	405	官洲	0	0	0
4	四号线	406	大学城北	0	0	0
4	四号线	407	大学城南	0	0	0
4	四号线	408	新造	0	0	0
4	四号线	409	石碁	0	0	0
4	四号线	410	海傍	0	0	0
4	四号线	411	低涌	0	0	0
4	四号线	412	东涌	0	0	0
4	四号线	413	黄阁汽车城	0	0	0
4	四号线	414	黄阁	0	0	0
4	四号线	415	蕉门	0	0	0
4	四号线	416	金洲	0	9	0
5	五号线	501	滘口	0	1	0
5	五号线	502	坦尾	0	0	0
5	五号线	503	中山八	0	0	0
5	五号线	504	西场	0	0	0
5	五号线	505	西村	0	0	0
5	五号线	506	广州火车站	1	0	0
5	五号线	507	小北	0	0	0
5	五号线	508	淘金	0	0	0
5	五号线	509	区庄	0	0	0
5	五号线	510	动物园	0	0	0
5	五号线	511	杨箕	1	0	0
5	五号线	512	五羊邨	0	0	0
5	五号线	513	珠江新城	1	0	0
5	五号线	514	猎德	0	0	0
5	五号线	515	潭村	0	0	0
5	五号线	516	员村	0	0	0
5	五号线	517	科韵路	0	0	0
5	五号线	518	车陂南	1	0	0
5	五号线	519	东圃	0	0	0
5	五号线	520	三溪	0	0	0
5	五号线	521	鱼珠	0	0	0
5	五号线	522	大沙地	0	0	0
5	五号线	523	大沙东	0	0	0
5	五号线	524	文冲	0	9	0
8	八号线	812	琶洲	0	0	0
8	八号线	811	新港东	0	0	0
8	八号线	810	磨碟沙	0	0	0
8	八号线	809	赤岗	0	0	0
8	八号线	804	客村	1	0	0
8	八号线	807	鹭江	0	0	0
8	八号线	813	万胜围	1	9	0
8	八号线	805	晓港	0	0	0
8	八号线	808	昌岗	1	0	0
8	八号线	803	宝岗大道	0	0	0
8	八号线	802	沙园	0	0	0
8	八号线	801	凤凰新村	0	1	0
8	八号线	806	中大	0	0	0
92	三号线北延段	9213	体育西路	1	9	0
92	三号线北延段	9212	林和西	1	0	0
92	三号线北延段	9211	广州东站	1	0	0
92	三号线北延段	9210	燕塘	0	0	0
92	三号线北延段	9209	梅花园	0	0	0
92	三号线北延段	9208	京溪南方医院	0	0	0
92	三号线北延段	9207	同和	0	0	0
92	三号线北延段	9206	永泰	0	0	0
92	三号线北延段	9205	白云大道北	0	0	0
92	三号线北延段	9204	嘉禾望岗	1	0	0
92	三号线北延段	9203	龙归	0	0	0
92	三号线北延段	9201	机场南	0	1	0
92	三号线北延段	9202	人和	0	0	0
93	APM线	9304	黄埔大道	0	0	0
93	APM线	9303	天河南	0	0	0
93	APM线	9302	体育中心南	0	0	0
93	APM线	9301	林和西	1	1	0
93	APM线	9305	妇儿中心	0	0	0
93	APM线	9308	海心沙	0	0	0
93	APM线	9307	歌剧院	0	0	0
93	APM线	9306	花城大道	0	0	0
93	APM线	9309	广州塔	1	9	0
94	广佛线	9410	普君北路	0	0	0
94	广佛线	9411	祖庙	0	0	0
94	广佛线	9412	同济路	0	0	0
94	广佛线	9413	季华园	0	0	0
94	广佛线	9409	朝安	0	0	0
94	广佛线	9408	桂城	0	0	0
94	广佛线	9407	南桂路	0	0	0
94	广佛线	9406	礌岗	0	0	0
94	广佛线	9405	千灯湖	0	0	0
94	广佛线	9404	金融高新区	0	0	0
94	广佛线	9414	魁奇路	0	9	0
94	广佛线	9402	菊树	0	0	0
94	广佛线	9401	西朗	1	1	0
94	广佛线	9403	龙溪	0	0	0
