CODE	TIME	MLCODE	NUM	TRAINNUM	PEDNUM	MAXLOAD
20150326	7:45:00	金台路-呼家楼	061036:2279	1	2279	116.28
20150326	7:45:00	十里堡-金台路	061015:0;061036:2159;061037:2246	3	4405	114.59
20150326	7:45:00	青年路-十里堡	061037:1902;061038:2002	2	3904	102.14
20150326	7:45:00	褡裢坡-青年路	061038:1633;061039:1665	2	3298	84.95
20150326	7:45:00	黄渠-褡裢坡	061039:1394;061040:1407	2	2801	71.79
20150326	7:45:00	常营-黄渠	061040:1061	1	1061	54.13
20150326	7:45:00	草房-常营	061040:738;061041:733	2	1471	37.65
20150326	7:45:00	海淀五路居-慈寿寺	062027:428;062028:482	2	910	24.59
20150326	7:45:00	慈寿寺-花园桥	062026:709;062027:650	2	1359	36.17
20150326	7:45:00	花园桥-白石桥南	062025:748;062026:809	2	1557	41.28
20150326	7:45:00	白石桥南-车公庄西	062025:1569	1	1569	80.05
20150326	7:45:00	车公庄西-车公庄	062024:1248;062025:1585	2	2833	80.87
20150326	7:45:00	车公庄-平安里	062023:952;062024:1127	2	2079	57.5
20150326	7:45:00	平安里-北海北	062023:974	1	974	49.69
20150326	7:45:00	北海北-南锣鼓巷	062022:1318;062023:962	2	2280	67.24
20150326	7:45:00	南锣鼓巷-东四	062021:1338;062022:1522	2	2860	77.65
20150326	7:45:00	东四-朝阳门	062021:1122	1	1122	57.24
20150326	7:45:00	朝阳门-东大桥	062020:804;062021:726	2	1530	41.02
20150326	7:45:00	东大桥-呼家楼	062019:742;062020:651	2	1393	37.86
20150326	7:45:00	呼家楼-金台路	062019:613	1	613	31.28
20150326	7:45:00	金台路-十里堡	062018:464;062019:458	2	922	23.67
20150326	7:45:00	十里堡-青年路	062018:415	1	415	21.17
20150326	7:45:00	青年路-褡裢坡	062017:272	1	272	13.88
20150326	7:45:00	褡裢坡-黄渠	062016:199;062017:218	2	417	11.12
20150326	7:45:00	黄渠-常营	062016:162	1	162	8.27
20150326	7:45:00	常营-草房	062015:129	1	129	6.58
20150326	7:45:00	朱辛庄-育知路	081036:400;081037:56	2	456	27.03
20150326	7:45:00	育知路-平西府	081035:104;081036:425	2	529	28.72
20150326	7:45:00	平西府-回龙观东大街	081034:477;081035:134	2	611	32.23
20150326	7:45:00	回龙观东大街-霍营	081033:676;081034:965	2	1641	65.2
20150326	7:45:00	霍营-育新	081032:216;081033:243	2	459	16.42
20150326	7:45:00	育新-西小口	081031:234;081032:224	2	458	15.81
20150326	7:45:00	西小口-永泰庄	081031:211;081032:192	2	403	14.26
20150326	7:45:00	永泰庄-林萃桥	081030:384;081031:399	2	783	26.96
20150326	7:45:00	林萃桥-森林公园南门	081029:430;081030:448	2	878	30.27
20150326	7:45:00	森林公园南门-奥林匹克公园	081028:409;081029:433	2	842	29.26
20150326	7:45:00	奥林匹克公园-奥体中心	081027:414;081028:416	2	830	28.11
20150326	7:45:00	奥体中心-北土城	081027:397	1	397	26.82
20150326	7:45:00	北土城-安华桥	081026:750;081027:1347	2	2097	91.01
20150326	7:45:00	安华桥-鼓楼大街	081025:1195;081026:777	2	1972	80.74
20150326	7:45:00	鼓楼大街-什刹海	081024:329;081025:441	2	770	29.8
20150326	7:45:00	什刹海-南锣鼓巷	081024:328	1	328	22.16
20150326	7:45:00	育知路-朱辛庄	082032:55;082033:241	2	296	16.28
20150326	7:45:00	平西府-育知路	082033:225;082034:35	2	260	15.2
20150326	7:45:00	回龙观东大街-平西府	082035:198	1	198	13.38
