换乘站名称	前方线路名称	前方线路方向	后续线路名称	后方线路方向	换乘距离（m）	平峰换乘时间（s）	高峰换乘时间（s）	早高峰下届	早高峰上届	晚高峰下届	晚高峰上届
白石桥南	6号线	0	9号线	0	64	60					
白石桥南	9号线	0	6号线	0	64	60					
北土城	8号线	0	10号线	0	135	90	90	7:00:00	9:00:00	17:30:00	18:30:00
北土城	10号线	0	8号线	0	135	90	90	7:00:00	9:00:00	17:30:00	18:30:00
朝阳门	2号线	0	6号线	0	25	120					
朝阳门	6号线	0	2号线	0	25	120					
车公庄	6号线	0	2号线	0	110	120					
车公庄	2号线	0	6号线	0	110	120					
崇文门	2号线	0	5号线	0	180	231	236	7:00:00	9:00:00	17:30:00	18:30:00
崇文门	5号线	0	2号线	0	180	254	395	7:00:00	9:00:00	17:30:00	18:30:00
慈寿寺	6号线	0	10号线	0	107	60					
慈寿寺	10号线	0	6号线	0	107	60					
东单	1号线	0	5号线	0	180	260	276	7:00:00	9:00:00	17:30:00	18:30:00
东单	5号线	0	1号线	0	180	230	325	7:00:00	9:00:00	17:30:00	18:30:00
东四	5号线	0	6号线	0	22	120					
东四	6号线	0	5号线	0	22	120					
东直门	2号线	0	13号线	0	360	412	359	7:00:00	9:00:00	17:30:00	18:30:00
东直门	13号线	0	2号线	0	360	238	267	7:00:00	9:00:00	17:30:00	18:30:00
复兴门	2号线	0	1号线	0	180	95	146	7:00:00	9:00:00	17:30:00	18:30:00
复兴门	1号线	0	2号线	0	180	202	390	7:00:00	9:00:00	17:30:00	18:30:00
公主坟	10号线	0	1号线	0	180	120					
公主坟	1号线	0	10号线	0	180	120					
鼓楼大街	8号线	0	2号线	0	145	120					
鼓楼大街	2号线	0	8号线	0	145	120					
郭公庄	9号线	0	房山线	0	180	120					
郭公庄	房山线	0	9号线	0	180	120					
国家图书馆	4号线(大兴线)	0	9号线	0	180	120					
国家图书馆	9号线	0	4号线(大兴线)	0	180	120					
国贸	1号线	0	10号线	0	180	120	120	7:00:00	9:00:00	17:30:00	18:30:00
国贸	10号线	0	1号线	0	180	120	120	7:00:00	9:00:00	17:30:00	18:30:00
海淀黄庄	4号线(大兴线)	0	10号线	0	90	60	60	7:00:00	9:00:00	17:30:00	18:30:00
海淀黄庄	10号线	0	4号线(大兴线)	0	90	60	60	7:00:00	9:00:00	17:30:00	18:30:00
呼家楼	10号线	0	6号线	0	180	120					
呼家楼	6号线	0	10号线	0	180	120					
惠新西街南口	5号线	0	10号线	0	90	60	60	7:00:00	9:00:00	17:30:00	18:30:00
惠新西街南口	10号线	0	5号线	0	90	60	60	7:00:00	9:00:00	17:30:00	18:30:00
霍营	8号线	0	13号线	0	156	120					
霍营	13号线	0	8号线	0	156	120					
建国门	1号线	0	2号线	0	180	161	169	7:00:00	9:00:00	17:30:00	18:30:00
建国门	2号线	0	1号线	0	180	101	80	7:00:00	9:00:00	17:30:00	18:30:00
角门西	4号线(大兴线)	0	10号线	0	180	120					
角门西	10号线	0	4号线(大兴线)	0	180	120					
立水桥	13号线	0	5号线	2	360	167	220	7:00:00	9:00:00	17:30:00	18:30:00
立水桥	13号线	0	5号线	1	360	127	240	7:00:00	9:00:00	17:30:00	18:30:00
立水桥	5号线	1	13号线	0	360	183	213	7:00:00	9:00:00	17:30:00	18:30:00
立水桥	5号线	2	13号线	0	360	129	200	7:00:00	9:00:00	17:30:00	18:30:00
六里桥	10号线	0	9号线	0	180	120					
六里桥	9号线	0	10号线	0	180	120					
平安里	4号线(大兴线)	0	6号线	0	116	120					
平安里	6号线	0	4号线(大兴线)	0	116	120					
芍药居	10号线	0	13号线	0	360	240	240	7:00:00	9:00:00	17:30:00	18:30:00
芍药居	13号线	0	10号线	0	360	240	240	7:00:00	9:00:00	17:30:00	18:30:00
四惠	1号线	0	八通线	0	180	120					
四惠	八通线	0	1号线	0	180	120					
四惠东	1号线	0	八通线	0	180	120					
四惠东	八通线	0	1号线	0	180	120					
宋家庄	5号线	0	10号线	0	180	120					
宋家庄	5号线	0	亦庄线	0	180	120					
宋家庄	亦庄线	0	5号线	0	180	120					
宋家庄	亦庄线	0	10号线	0	180	120					
宋家庄	10号线	0	亦庄线	0	180	120					
宋家庄	10号线	0	5号线	0	180	120					
望京西	15号线	0	13号线	0	196	180					
望京西	13号线	0	15号线	0	196	180					
西单	1号线	0	4号线(大兴线)	0	405	271	235	7:00:00	9:00:00	17:30:00	18:30:00
西单	4号线(大兴线)	0	1号线	0	405	344	358	7:00:00	9:00:00	17:30:00	18:30:00
西二旗	昌平线	0	13号线	0	180	120					
西二旗	13号线	0	昌平线	0	180	120					
西局	10号线	0	14号线	0	63	60					
西局	14号线	0	10号线	0	63	60					
西直门	2号线	0	4号线(大兴线)	0	90	125	158	7:00:00	9:00:00	17:30:00	18:30:00
西直门	4号线(大兴线)	0	2号线	0	90	197	210	7:00:00	9:00:00	17:30:00	18:30:00
西直门	2号线	0	13号线	0	450	491	537	7:00:00	9:00:00	17:30:00	18:30:00
西直门	13号线	0	2号线	0	450	557	509	7:00:00	9:00:00	17:30:00	18:30:00
西直门	4号线(大兴线)	0	13号线	0	360	534	447	7:00:00	9:00:00	17:30:00	18:30:00
西直门	13号线	0	4号线(大兴线)	0	360	394	528	7:00:00	9:00:00	17:30:00	18:30:00
宣武门	2号线	0	4号线(大兴线)	0	90	143	165	7:00:00	9:00:00	17:30:00	18:30:00
宣武门	4号线(大兴线)	0	2号线	0	90	140	618	7:00:00	9:00:00	17:30:00	18:30:00
雍和宫	2号线	0	5号线	0	180	123	121	7:00:00	9:00:00	17:30:00	18:30:00
雍和宫	5号线	0	2号线	0	180	143	204	7:00:00	9:00:00	17:30:00	18:30:00
知春路	10号线	0	13号线	0	270	180	180	7:00:00	9:00:00	17:30:00	18:30:00
知春路	13号线	0	10号线	0	270	180	180	7:00:00	9:00:00	17:30:00	18:30:00
朱辛庄	昌平线	0	8号线	0	270	180					
朱辛庄	8号线	0	昌平线	0	270	180					
南锣鼓巷	8号线	0	6号线	0	270	180					
南锣鼓巷	6号线	0	8号线	0	270	180					
