CODE	TIME	STATIONCODE	INNUM	OUTNUM	TRANNUM	GETONPED	GETOFFPED	GETONNUM	GETONTIME	GETONWAITTIME	TRANINNUM	TRANINTIME	TRANINWAITTIME	RESOURCENUM	GETOFFTIME	AVGSTANUM	MAXSTANUM	AVGPLATNUM	MAXPLATNUM	AVGLIMITNUM	MAXLIMITNUM
20150327	8:45:00	国贸	643	2111	10号线下/1号线上:877;10号线上/1号线上:61;1号线下/10号线下:55;1号线上/10号线下:280;10号线下/1号线下:184;10号线上/1号线下:237;1号线下/10号线上:751;1号线上/10号线上:384	012076:359;101072:413;011099:635;102086:122;012077:270;011100:570;101083:504;102081:290;012078:359	012076:850;101072:423;011099:122;102086:661;012077:634;011100:539;101083:284;102081:878;012078:762	1号线上:20;10号线下:85;1号线下:299;10号线上:138	1号线上:227;10号线下:244;1号线下:244;10号线上:247	1号线上:47;10号线下:66;1号线下:65;10号线上:69	1号线上:968;10号线下:832;1号线下:906;10号线上:274	1号线上:282;10号线下:326;1号线下:261;10号线上:320	1号线上:68;10号线下:83;1号线下:49;10号线上:88	1号线上:1;10号线下:1;1号线下:1;10号线上:1		2840	4742	1号线下:348;1号线上:233;10号线下:358;10号线上:155	1号线下:714;1号线上:528;10号线下:846;10号线上:441	0	0
20150327	6:05:00	角门西	50	3	4号线(大兴线)下/10号线上:11;4号线(大兴线)上/10号线上:35;10号线下/4号线(大兴线)上:33;10号线上/4号线(大兴线)上:71	102019:64;04932P022:57	102019:17;04932P022:102	10号线上:8;4号线(大兴线)上:25	10号线上:307;4号线(大兴线)上:282	10号线上:123;4号线(大兴线)上:97	10号线上:56;4号线(大兴线)上:32	10号线上:606;4号线(大兴线)上:486	10号线上:173;4号线(大兴线)上:140	10号线上:1;4号线(大兴线)上:1		210	347	4号线(大兴线)下:5;4号线(大兴线)上:25;10号线下:68;10号线上:38	4号线(大兴线)下:11;4号线(大兴线)上:66;10号线下:119;10号线上:117	0	0
20150327	8:15:00	菜市口	210	236		04932P118:67;04932P120:88;04931S079:20;04932P122:85	04932P118:67;04932P120:88;04931S079:57;04932P122:34	4号线(大兴线)上:240;4号线(大兴线)下:20	4号线(大兴线)上:249;4号线(大兴线)下:297	4号线(大兴线)上:70;4号线(大兴线)下:118				4号线(大兴线)上:1;4号线(大兴线)下:1		241	408	4号线(大兴线)下:10;4号线(大兴线)上:55	4号线(大兴线)下:27;4号线(大兴线)上:123	0	0
20150327	6:10:00	通州北苑	40	0												41	79	八通线下:22;八通线上:2	八通线下:52;八通线上:3	0	0
20150327	6:10:00	果园	45	1		971008:60	971008:2	八通线下:60	八通线下:362	八通线下:184				八通线下:1		46	101	八通线下:23;八通线上:2	八通线下:64;八通线上:5	0	0
20150327	6:10:00	九棵树	30	0		971008:47		八通线下:47	八通线下:374	八通线下:195				八通线下:1		26	71	八通线下:14	八通线下:52	0	0
20150327	6:10:00	梨园	90	0		971009:108	971009:1	八通线下:108	八通线下:362	八通线下:183				八通线下:1		87	178	八通线下:49;八通线上:0	八通线下:120;八通线上:1	0	0
20150327	6:10:00	临河里	30	0		971009:46		八通线下:46	八通线下:355	八通线下:174				八通线下:1		30	73	八通线下:17	八通线下:51	0	0
20150327	6:10:00	土桥	110	0		971010:116		八通线下:116	八通线下:339	八通线下:160				八通线下:1		98	200	八通线下:52	八通线下:135	0	0
20150327	6:15:00	苹果园	370	32		012032:391		1号线上:391	1号线上:418	1号线上:239				1号线上:1		320	642	1号线上:173	1号线上:444	0	0
